data,hora,taxa
2023/01/27,15:25:34,13.34065848685518
2023/01/27,15:25:37,13.910625021543469
2023/01/27,15:25:39,13.757625351485968
2023/01/27,15:25:41,13.377494817194462
2023/01/27,15:25:43,13.627168820352262
2023/01/27,15:25:45,13.926668584327976
2023/01/27,15:25:48,14.131708267325864
2023/01/27,15:25:50,13.508304142610509
2023/01/27,15:25:52,13.483923351387057
2023/01/27,15:25:54,13.570125045470913
2023/01/27,15:54:46,13.318040723613324
2023/01/27,15:54:48,13.523985348017323
2023/01/27,15:54:51,13.655954794792901
2023/01/27,15:54:52,13.438099756466384
2023/01/27,15:54:54,13.771757212587344
2023/01/27,15:54:56,13.206740966192811
2023/01/27,15:54:59,14.05467869005027
2023/01/27,15:55:01,13.7029929457083
2023/01/27,15:55:03,13.593018652675461
2023/01/27,15:55:05,13.844657571372057
2023/01/27,15:59:21,14.003067439212447
2023/01/27,15:59:23,13.546353501259276
2023/01/27,15:59:26,13.48512752228196
2023/01/27,15:59:28,13.760271553839548
2023/01/27,15:59:31,14.015670238662732
2023/01/27,15:59:33,13.962395452701456
2023/01/27,15:59:36,14.047652200780991
2023/01/27,15:59:38,13.656460877271547
2023/01/27,15:59:40,13.45843662873858
2023/01/27,15:59:42,13.798543972185623
